Sample	Category	AS-1.2	AS-0.6	AS-2	AS-1.2_I60	AS-1.2_I150	
6	Sequence pairs analysed in total:	100000	100000	100000	100000	100000
6	Number of paired-end alignments with a unique best hit:	53779	33466	79734	50679	14504
6	Mapping efficiency:	53.8% 	33.5% 	79.7% 	50.7% 	14.5% 
6	Sequence pairs with no alignments under any condition:	29695	54437	374	34356	81332
6	Sequence pairs did not map uniquely:	16526	12097	19892	14965	4164
6	Sequence pairs which were discarded because genomic sequence could not be extracted:	0	0	0	0	0
6	C methylated in CpG context:	67.1%	71.1%	63.8%	66.9%	61.6%
6	C methylated in CHG context:	3.2%	2.6%	5.0%	3.2%	3.5%
6	C methylated in CHH context:	4.1%	2.6%	9.1%	4.0%	5.1%
6	C methylated in unknown context (CN or CHN):	19.5%	21.8%	27.5%	19.1%	19.7%
7	Sequence pairs analysed in total:	100000	100000	100000	100000	100000
7	Number of paired-end alignments with a unique best hit:	56844	35383	78624	52453	14166
7	Mapping efficiency:	56.8% 	35.4% 	78.6% 	52.5% 	14.2% 
7	Sequence pairs with no alignments under any condition:	25108	51529	323	31628	81561
7	Sequence pairs did not map uniquely:	18048	13088	21053	15919	4273
7	Sequence pairs which were discarded because genomic sequence could not be extracted:	0	0	0	0	0
7	C methylated in CpG context:	72.8%	77.7%	69.2%	72.6%	68.1%
7	C methylated in CHG context:	3.2%	2.6%	4.6%	3.2%	3.6%
7	C methylated in CHH context:	4.2%	2.7%	8.1%	4.2%	5.8%
7	C methylated in unknown context (CN or CHN):	18.4%	22.7%	24.6%	18.0%	19.4%
8	Sequence pairs analysed in total:	100000	100000	100000	100000	100000
8	Number of paired-end alignments with a unique best hit:	53463	33107	80059	50979	16821
8	Mapping efficiency:	53.5% 	33.1% 	80.1% 	51.0% 	16.8% 
8	Sequence pairs with no alignments under any condition:	30401	55205	386	34216	78580
8	Sequence pairs did not map uniquely:	16136	11688	19555	14805	4599
8	Sequence pairs which were discarded because genomic sequence could not be extracted:	0	0	0	0	0
8	C methylated in CpG context:	71.0%	75.0%	67.3%	70.9%	66.7%
8	C methylated in CHG context:	3.3%	2.7%	5.0%	3.3%	3.6%
8	C methylated in CHH context:	4.1%	2.7%	8.6%	4.1%	5.1%
8	C methylated in unknown context (CN or CHN):	18.5%	21.6%	25.7%	18.1%	19.8%
9	Sequence pairs analysed in total:	100000	100000	100000	100000	100000
9	Number of paired-end alignments with a unique best hit:	48884	30256	81008	45836	14354
9	Mapping efficiency:	48.9% 	30.3% 	81.0% 	45.8% 	14.4% 
9	Sequence pairs with no alignments under any condition:	36530	59165	385	40924	81679
9	Sequence pairs did not map uniquely:	14586	10579	18607	13240	3967
9	Sequence pairs which were discarded because genomic sequence could not be extracted:	0	0	0	0	0
9	C methylated in CpG context:	66.1%	69.9%	63.0%	65.9%	61.8%
9	C methylated in CHG context:	3.3%	2.7%	6.1%	3.3%	3.4%
9	C methylated in CHH context:	4.7%	2.9%	12.8%	4.4%	5.9%
9	C methylated in unknown context (CN or CHN):	20.0%	22.8%	32.1%	18.9%	20.5%
10	Sequence pairs analysed in total:	100000	100000	100000	100000	100000
10	Number of paired-end alignments with a unique best hit:	52449	32194	79357	49112	14107
10	Mapping efficiency:	52.4% 	32.2% 	79.4% 	49.1% 	14.1% 
10	Sequence pairs with no alignments under any condition:	30963	55792	540	35939	81677
10	Sequence pairs did not map uniquely:	16588	12014	20103	14949	4216
10	Sequence pairs which were discarded because genomic sequence could not be extracted:	0	0	0	0	0
10	C methylated in CpG context:	75.8%	79.5%	72.4%	75.7%	70.4%
10	C methylated in CHG context:	3.5%	2.9%	5.2%	3.4%	3.6%
10	C methylated in CHH context:	4.2%	2.8%	8.8%	4.1%	5.3%
10	C methylated in unknown context (CN or CHN):	19.5%	23.2%	27.3%	19.1%	20.9%
